STATE,STATEA,COUNTY,COUNTYA,num_vehicles,tot_vehicles,st_cnty_name
Alabama,1,Colbert County,33,4,1523,"Colbert County, Alabama"
Alabama,1,Colbert County,33,5,480,"Colbert County, Alabama"
Alabama,1,Conecuh County,35,1,1861,"Conecuh County, Alabama"
Alabama,1,Conecuh County,35,2,1557,"Conecuh County, Alabama"
Alabama,1,Conecuh County,35,3,531,"Conecuh County, Alabama"
Alabama,1,Conecuh County,35,4,200,"Conecuh County, Alabama"
Alabama,1,Conecuh County,35,5,96,"Conecuh County, Alabama"
Alabama,1,Coosa County,37,1,1129,"Coosa County, Alabama"
Alabama,1,Coosa County,37,2,1597,"Coosa County, Alabama"
Alabama,1,Coosa County,37,3,668,"Coosa County, Alabama"
Alabama,1,Coosa County,37,4,309,"Coosa County, Alabama"
Alabama,1,Coosa County,37,5,167,"Coosa County, Alabama"
Alabama,1,Covington County,39,1,4795,"Covington County, Alabama"
Alabama,1,Covington County,39,2,5865,"Covington County, Alabama"
Alabama,1,Covington County,39,3,2095,"Covington County, Alabama"
Alabama,1,Covington County,39,4,924,"Covington County, Alabama"
Alabama,1,Covington County,39,5,373,"Covington County, Alabama"
Alabama,1,Crenshaw County,41,1,1401,"Crenshaw County, Alabama"
Alabama,1,Crenshaw County,41,2,1849,"Crenshaw County, Alabama"
Alabama,1,Crenshaw County,41,3,890,"Crenshaw County, Alabama"
Alabama,1,Crenshaw County,41,4,313,"Crenshaw County, Alabama"
Alabama,1,Crenshaw County,41,5,155,"Crenshaw County, Alabama"
Alabama,1,Cullman County,43,1,9023,"Cullman County, Alabama"
Alabama,1,Cullman County,43,2,11010,"Cullman County, Alabama"
Alabama,1,Cullman County,43,3,6178,"Cullman County, Alabama"
Alabama,1,Cullman County,43,4,2423,"Cullman County, Alabama"
Alabama,1,Cullman County,43,5,1220,"Cullman County, Alabama"
Alabama,1,Dale County,45,1,6099,"Dale County, Alabama"
Alabama,1,Dale County,45,2,7151,"Dale County, Alabama"
Alabama,1,Dale County,45,3,3032,"Dale County, Alabama"
Alabama,1,Dale County,45,4,1004,"Dale County, Alabama"
Alabama,1,Dale County,45,5,593,"Dale County, Alabama"
Alabama,1,Dallas County,47,1,5366,"Dallas County, Alabama"
Alabama,1,Dallas County,47,2,4548,"Dallas County, Alabama"
Alabama,1,Dallas County,47,3,2260,"Dallas County, Alabama"
Alabama,1,Dallas County,47,4,1154,"Dallas County, Alabama"
Alabama,1,Dallas County,47,5,360,"Dallas County, Alabama"
Alabama,1,DeKalb County,49,1,7295,"DeKalb County, Alabama"
Alabama,1,DeKalb County,49,2,9525,"DeKalb County, Alabama"
Alabama,1,DeKalb County,49,3,4833,"DeKalb County, Alabama"
Alabama,1,DeKalb County,49,4,2057,"DeKalb County, Alabama"
Alabama,1,DeKalb County,49,5,986,"DeKalb County, Alabama"
Alabama,1,Elmore County,51,1,8493,"Elmore County, Alabama"
Alabama,1,Elmore County,51,2,11234,"Elmore County, Alabama"
